index,File_path,ExecutableType,TotalPackages,,,,,,
939,GLToStagingIncrementalLoad_GLToStagingParentPackage,Microsoft.Package,1,1,0,0,0,0
940,GLToStagingIncrementalLoad_GLToStagingParentPackage,STOCK:SEQUENCE,1,1,0,0,0,0
997,HRToStagingIncrementalLoad_HRToStagingParentPackage,Microsoft.ExecutePackageTask,43,43,0,0,0,0
998,HRToStagingIncrementalLoad_HRToStagingParentPackage,Microsoft.ExecuteSQLTask,2,2,0,0,0,0
999,HRToStagingIncrementalLoad_HRToStagingParentPackage,Microsoft.Package,1,1,0,0,0,0
1000,HRToStagingIncrementalLoad_HRToStagingParentPackage,Microsoft.ScriptTask,1,1,0,0,0,0
1001,HRToStagingIncrementalLoad_HRToStagingParentPackage,STOCK:SEQUENCE,9,9,0,0,0,0
1373,LocationMasterStagingLoad_LocationMasterHistoryParentPackage,Microsoft.ExecutePackageTask,2,2,0,0,0,0
1374,LocationMasterStagingLoad_LocationMasterHistoryParentPackage,Microsoft.ExecuteSQLTask,2,2,0,0,0,0
1375,LocationMasterStagingLoad_LocationMasterHistoryParentPackage,Microsoft.Package,1,1,0,0,0,0
1376,LocationMasterStagingLoad_LocationMasterHistoryParentPackage,STOCK:SEQUENCE,1,1,0,0,0,0
1377,LocationMasterStagingLoad_LocationMasterIncrementalParentPackage,Microsoft.ExecutePackageTask,6,6,0,0,0,0
1378,LocationMasterStagingLoad_LocationMasterIncrementalParentPackage,Microsoft.ExecuteSQLTask,2,2,0,0,0,0
1379,LocationMasterStagingLoad_LocationMasterIncrementalParentPackage,Microsoft.Package,1,1,0,0,0,0
1380,LocationMasterStagingLoad_LocationMasterIncrementalParentPackage,STOCK:SEQUENCE,1,1,0,0,0,0
1451,OtherMiscStagingLoad_OtherMiscStagingParentPackage,Microsoft.ExecutePackageTask,3,3,0,0,0,0
1452,OtherMiscStagingLoad_OtherMiscStagingParentPackage,Microsoft.ExecuteSQLTask,2,2,0,0,0,0
1453,OtherMiscStagingLoad_OtherMiscStagingParentPackage,Microsoft.Package,1,1,0,0,0,0
1454,OtherMiscStagingLoad_OtherMiscStagingParentPackage,STOCK:SEQUENCE,1,1,0,0,0,0
1512,SalesForceToStagingIncrementalLoad_SalesforceToStagingParentPackage,Microsoft.ExecutePackageTask,8,8,0,0,0,0
1513,SalesForceToStagingIncrementalLoad_SalesforceToStagingParentPackage,Microsoft.Package,1,1,0,0,0,0
1514,SalesForceToStagingIncrementalLoad_SalesforceToStagingParentPackage,STOCK:SEQUENCE,4,4,0,0,0,0
1856,StagingToEDW_StagingToEDWParentPackage,Microsoft.ExecutePackageTask,4,4,0,0,0,0
1857,StagingToEDW_StagingToEDWParentPackage,Microsoft.ExecuteSQLTask,2,2,0,0,0,0
1858,StagingToEDW_StagingToEDWParentPackage,Microsoft.Package,1,1,0,0,0,0
1859,StagingToEDW_StagingToEDWParentPackage,STOCK:SEQUENCE,9,9,0,0,0,0
