File_path,ExecutableType,difficulty,total,Estimation
StagingToEDW_StagingToEDW_Fact_GLBalance,Microsoft.ExecuteSQLTask,1,2,2
StagingToEDW_StagingToEDW_Fact_FTESnapshot,Microsoft.Package,0,1,0
StagingToEDW_StagingToEDW_Fact_FTESnapshot,STOCK:SEQUENCE,0,3,0
StagingToEDW_StagingToEDW_Fact_FTESnapshot,Microsoft.ExecuteSQLTask,1,3,3
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,Microsoft.Package,0,1,0
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,STOCK:SEQUENCE,0,5,0
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,Microsoft.ExecuteSQLTask,1,6,6
StagingToEDW_StagingToEDW_Fact_CenterManagementEnrollment,Microsoft.Package,0,1,0
StagingToEDW_StagingToEDW_Fact_CenterManagementEnrollment,STOCK:SEQUENCE,0,4,0
StagingToEDW_StagingToEDW_Fact_CenterManagementEnrollment,Microsoft.ExecuteSQLTask,1,3,3
StagingToEDW_StagingToEDW_Fact_CenterManagementEnrollment,Microsoft.ExecutePackageTask,3,1,3
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransaction,Microsoft.Package,0,1,0
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransaction,STOCK:SEQUENCE,0,5,0
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransaction,Microsoft.ExecuteSQLTask,1,4,4
StagingToEDW_StagingToEDW_Fact_ARBalanceSnapshot,Microsoft.Package,0,1,0
StagingToEDW_StagingToEDW_Fact_ARBalanceSnapshot,STOCK:SEQUENCE,0,4,0
StagingToEDW_StagingToEDW_Fact_ARBalanceSnapshot,Microsoft.ExecuteSQLTask,1,2,2
StagingToEDW_StagingToEDW_FactParent,Microsoft.Package,0,1,0
StagingToEDW_StagingToEDW_FactParent,STOCK:SEQUENCE,0,12,0
StagingToEDW_StagingToEDW_FactParent,Microsoft.ExecutePackageTask,3,8,24
StagingToEDW_StagingToEDW_Dimension_StudentLead,Microsoft.Package,0,1,0
StagingToEDW_StagingToEDW_Dimension_StudentLead,STOCK:SEQUENCE,0,4,0
StagingToEDW_StagingToEDW_Dimension_StudentLead,Microsoft.ExecuteSQLTask,1,3,3
StagingToEDW_StagingToEDW_Dimension_GLandHR,Microsoft.Package,0,1,0
StagingToEDW_StagingToEDW_Dimension_GLandHR,STOCK:SEQUENCE,0,32,0
StagingToEDW_StagingToEDW_Dimension_GLandHR,Microsoft.ExecutePackageTask,3,2,6
StagingToEDW_StagingToEDW_Dimension_GLandHR,Microsoft.ExecuteSQLTask,1,29,29
StagingToEDW_StagingToEDW_Dimension_CenterManagement,Microsoft.Package,0,1,0
StagingToEDW_StagingToEDW_Dimension_CenterManagement,STOCK:SEQUENCE,0,41,0
StagingToEDW_StagingToEDW_Dimension_CenterManagement,Microsoft.ExecuteSQLTask,1,27,27
StagingToEDW_StagingToEDW_Dimension_CenterManagement,Microsoft.ExecutePackageTask,3,15,45
StagingToEDW_StagingToEDW_DimensionParent,Microsoft.Package,0,1,0
StagingToEDW_StagingToEDW_DimensionParent,STOCK:SEQUENCE,0,8,0
StagingToEDW_StagingToEDW_DimensionParent,Microsoft.ExecuteSQLTask,1,3,3
StagingToEDW_StagingToEDW_DimensionParent,Microsoft.ExecutePackageTask,3,3,9
StagingToEDW_StagingToEDWParentPackage,Microsoft.Package,0,1,0
StagingToEDW_StagingToEDWParentPackage,STOCK:SEQUENCE,0,9,0
StagingToEDW_StagingToEDWParentPackage,Microsoft.ExecuteSQLTask,1,2,2
StagingToEDW_StagingToEDWParentPackage,Microsoft.ExecutePackageTask,3,4,12
