package_name,difficulty,hours,days
StagingToEDW_DimSponsor,1,1,"0,5"
StagingToEDW_DimStudent,1,1,"0,5"
StagingToEDW_DimTier,1,1,"0,5"
StagingToEDW_DimTuitionAssistanceProvider,1,1,"0,5"
StagingToEDW_DimWebCampaign,1,1,"0,5"
StagingToEDW_FactAdjustment,1,1,"0,5"
StagingToEDW_FactBilling,1,1,"0,5"
StagingToEDW_FactCenterStatSnapshot,1,1,"0,5"
StagingToEDW_FactEmployeeAssessment,1,1,"0,5"
StagingToEDW_FactEmployeeAssignment,1,1,"0,5"
StagingToEDW_FactEmployeeCompliance,1,1,"0,5"
StagingToEDW_FactEmployeeLeave,1,1,"0,5"
StagingToEDW_FactEmployeePayRate,1,1,"0,5"
StagingToEDW_FactEmployeePerformance,1,1,"0,5"
StagingToEDW_FactEmployeeQualification,1,1,"0,5"
StagingToEDW_FactFTESnapshot,1,1,"0,5"
StagingToEDW_FactFTESnapshotAcquired,1,1,"0,5"
StagingToEDW_FactFTESnapshotCSS,1,1,"0,5"
StagingToEDW_FactFTESnapshotPRO,1,1,"0,5"
StagingToEDW_FactGLBalance,1,1,"0,5"
StagingToEDW_FactGLBalancePlanAllocation,1,1,"0,5"
StagingToEDW_FactLaborHourAcquired,1,1,"0,5"
StagingToEDW_FactLaborHourActual,1,1,"0,5"
StagingToEDW_FactLaborHourTarget,1,1,"0,5"
StagingToEDW_FactLaborHourTargetLegacy,1,1,"0,5"
StagingToEDW_FactLaborHourTargetPRO,1,1,"0,5"
StagingToEDW_FactLaborSalary,1,1,"0,5"
StagingToEDW_FactLeadEvent,1,1,"0,5"
StagingToEDW_FactLeadPipeline,1,1,"0,5"
StagingToEDW_FactLifecycleStatusSnapshot,1,1,"0,5"
StagingToEDW_FactNetRevenue,1,1,"0,5"
StagingToEDW_FactNetRevenueAcquired,1,1,"0,5"
StagingToEDW_FactNetRevenueHOR,1,1,"0,5"
StagingToEDW_FactNetRevenuePRO,1,1,"0,5"
StagingToEDW_FactPayment,1,1,"0,5"
StagingToEDW_FactPaymentApplied,1,1,"0,5"
StagingToEDW_FactPersonSpecialInfo,1,1,"0,5"
StagingToEDW_FactSessionEnrollment,1,1,"0,5"
StagingToEDW_FactTierAssignment,1,1,"0,5"
StagingToEDW_StagingToEDW_Fact_GLBalancePlanAllocation,1,1,"0,5"
StagingToEDW_StagingToEDW_Fact_LifecycleStatusSnapshot,1,1,"0,5"
StagingtoEDWCSS_DimARAgencyTypeCSS,1,1,"0,5"
StagingtoEDWCSS_DimDiscountTypeCSS,1,1,"0,5"
StagingtoEDWCSS_DimFeeTypeCSS,1,1,"0,5"
StagingtoEDWCSS_DimPaymentTypeCSS,1,1,"0,5"
StagingtoEDWCSS_DimProgramCSS,1,1,"0,5"
StagingtoEDWCSS_DimSessionCSS,1,1,"0,5"
StagingtoEDWCSS_DimSponsorCSS,1,1,"0,5"
StagingtoEDWCSS_DimStudentCSS,1,1,"0,5"
StagingtoEDWCSS_DimTierCSS,1,1,"0,5"
StagingtoEDWCSS_DimTransactionCodeCSS,1,1,"0,5"
StagingtoEDWCSS_DimTuitionAssistanceProviderCSS,1,1,"0,5"
StagingtoEDWCSS_FactFTESnapshotCSS,1,1,"0,5"
StagingtoEDWCSS_FactLaborHourTarget,1,1,"0,5"
StagingtoEDWCSS_FactLifeCycleStatusSnapshot,1,1,"0,5"
StagingtoEDWCSS_FactNetRevenueCSS,1,1,"0,5"
