File_path,store_procedure_name
StagingToEDW_DimFeeType,spCMS_StagingToEDW_DimFeeType
StagingToEDW_DimHRUser,spHR_StagingToEDW_DimHRUser
StagingToEDW_DimInvoiceType,spCMS_StagingToEDW_DimInvoiceType
StagingToEDW_DimLead,spSalesForce_StagingToEDW_DimLead
StagingToEDW_DimLeadEventType,spBING_EDW_Generate_DimLeadEventType
StagingToEDW_DimLeadType,spSalesForce_StagingToEDW_DimLeadType
StagingToEDW_DimLeaveReason,spHR_StagingToEDW_DimLeaveReason
StagingToEDW_DimLeaveType,spHR_StagingToEDW_DimLeaveType
StagingToEDW_DimLifecycleStatus,spEndAuditLog
StagingToEDW_DimLifecycleStatus,spBeginAuditLog
StagingToEDW_DimLocation,spHR_StagingToEDW_DimLocation
StagingToEDW_DimMartAccountSubAccount,spBeginAuditLog
StagingToEDW_DimMartAccountSubAccount,spEndAuditLog
StagingToEDW_DimMartAccountSubAccount,spGL_Staging_AccountSubAccountLanding
StagingToEDW_DimMartCostCenter,spBING_EDW_Generate_DimCostCenter
StagingToEDW_DimMartCostCenter,spBeginAuditLog
StagingToEDW_DimMartCostCenter,spEndAuditLog
StagingToEDW_DimMartPartner,spDimPartnerLoad
StagingToEDW_DimMartProgram,spBeginAuditLog
StagingToEDW_DimMartProgram,spEndAuditLog
StagingToEDW_DimMartSession,spBeginAuditLog
StagingToEDW_DimMartSession,spEndAuditLog
StagingToEDW_DimMartSponsor,spDimSponsorLoad
StagingToEDW_DimMartStudent,spDimStudentLoad
StagingToEDW_DimMartTier,spBeginAuditLog
StagingToEDW_DimMartTier,spEndAuditLog
StagingToEDW_DimMartTuitionAssistanceProvider,spBeginAuditLog
StagingToEDW_DimMartTuitionAssistanceProvider,spEndAuditLog
StagingToEDW_DimMeasure,spBeginAuditLog
StagingToEDW_DimMeasure,spEndAuditLog
StagingToEDW_DimOrganization,spHR_StagingToEDW_DimOrganization
StagingToEDW_DimPayBasis,spHR_StagingToEDW_DimPayBasis
StagingToEDW_DimPayGrade,spHR_StagingToEDW_DimPayGrade
StagingToEDW_DimPaymentType,spCMS_StagingToEDW_DimPaymentType
StagingToEDW_DimPayRateChangeReason,spHR_StagingToEDW_DimPayRateChangeReason
StagingToEDW_DimPayrollType,spMISC_StagingToEDW_DimPayrollType
StagingToEDW_DimPeopleGroup,spHR_StagingToEDW_DimPeopleGroup
StagingToEDW_DimPerformanceRating,spHR_StagingToEDW_DimPerformanceRating
StagingToEDW_DimPerson,spHR_StagingToEDW_DimPerson
StagingToEDW_DimPosition,spHR_StagingToEDW_DimPosition
StagingToEDW_DimProgram,spCMS_StagingToEDW_DimProgram
StagingToEDW_DimQualificationType,spHR_StagingToEDW_DimQualificationType
StagingToEDW_DimReportProfile,spMISC_StagingToEDW_DimReportProfile
StagingToEDW_DimRetentionBaseWeek,spEndAuditLog
StagingToEDW_DimRetentionBaseWeek,spBeginAuditLog
StagingToEDW_DimScheduleType,spCMS_StagingToEDW_DimScheduleType
StagingToEDW_DimScheduleWeek,spEndAuditLog
StagingToEDW_DimScheduleWeek,spBeginAuditLog
StagingToEDW_DimSession,spCMS_StagingToEDW_DimSession
StagingToEDW_DimSpecialInfo,spHR_StagingToEDW_DimSpecialInfo
StagingToEDW_DimSponsor,spCMS_StagingToEDW_DimSponsor
StagingToEDW_DimStudent,spCMS_StagingToEDW_DimStudent
StagingToEDW_DimTier,spCMS_StagingToEDW_DimTier
StagingToEDW_DimTimeCalculation,spEndAuditLog
StagingToEDW_DimTimeCalculation,spBeginAuditLog
StagingToEDW_DimTuitionAssistanceProvider,spCMS_StagingToEDW_DimTuitionAssistanceProvider
StagingToEDW_DimWebCampaign,spSalesForce_StagingToEDW_DimWebCampaign
StagingToEDW_FactAdjustment,spCMS_StagingToEDW_FactAdjustment
StagingToEDW_FactARBalanceSnapshot,spBackupTranLog
StagingToEDW_FactARBalanceSnapshot,spCMS_BatchLoad_StagingToEDW_FactARBalanceSnapshot
StagingToEDW_FactARBalanceSnapshot,spCSS_BatchLoad_StagingToEDW_FactARBalanceSnapshot
StagingToEDW_FactBilling,spCMS_BatchLoad_StagingToEDW_FactBilling
StagingToEDW_FactCenterStatSnapshot,spGL_BatchLoad_StagingToEDW_FactCenterStatSnapshot
StagingToEDW_FactEmployeeAssessment,spHR_StagingToEDW_FactEmployeeAssessment
StagingToEDW_FactEmployeeAssignment,spHR_StagingToEDW_FactEmployeeAssignment
StagingToEDW_FactEmployeeCompliance,spHR_StagingToEDW_FactEmployeeCompliance
StagingToEDW_FactEmployeeLeave,spHR_StagingToEDW_FactEmployeeLeave
StagingToEDW_FactEmployeePayRate,spHR_StagingToEDW_FactEmployeePayRate
StagingToEDW_FactEmployeePerformance,spHR_StagingToEDW_FactEmployeePerformance
StagingToEDW_FactEmployeeQualification,spHR_StagingToEDW_FactEmployeeQualification
StagingToEDW_FactFTESnapshot,spCMS_BatchLoad_StagingToEDW_FactFTESnapshot
StagingToEDW_FactFTESnapshotAcquired,spMISC_StagingToEDW_FactFTESnapshot
