,File_path,ExecutableType,RefId
67,DWBaseIncrementalLoad_LaborHoursMeasure,STOCK:FOREACHLOOP,79
68,DWBaseIncrementalLoad_LaborHoursMeasure,STOCK:SEQUENCE,159
69,DWBaseIncrementalLoad_LaborSalaryMeasure,Microsoft.ExecuteSQLTask,111
70,DWBaseIncrementalLoad_LaborSalaryMeasure,Microsoft.Package,1
71,DWBaseIncrementalLoad_LaborSalaryMeasure,Microsoft.Pipeline,90
72,DWBaseIncrementalLoad_LaborSalaryMeasure,STOCK:FOREACHLOOP,18
73,DWBaseIncrementalLoad_LaborSalaryMeasure,STOCK:SEQUENCE,37
74,DWBaseIncrementalLoad_LeadEventMeasure,Microsoft.ExecuteSQLTask,75
75,DWBaseIncrementalLoad_LeadEventMeasure,Microsoft.Package,1
76,DWBaseIncrementalLoad_LeadEventMeasure,Microsoft.Pipeline,60
77,DWBaseIncrementalLoad_LeadEventMeasure,STOCK:FOREACHLOOP,12
78,DWBaseIncrementalLoad_LeadEventMeasure,STOCK:SEQUENCE,25
79,DWBaseIncrementalLoad_LifeCycleStatusMeasure,Microsoft.ExecuteSQLTask,27
80,DWBaseIncrementalLoad_LifeCycleStatusMeasure,Microsoft.Package,1
81,DWBaseIncrementalLoad_LifeCycleStatusMeasure,Microsoft.Pipeline,20
82,DWBaseIncrementalLoad_LifeCycleStatusMeasure,STOCK:FOREACHLOOP,4
83,DWBaseIncrementalLoad_LifeCycleStatusMeasure,STOCK:SEQUENCE,9
84,DWBaseIncrementalLoad_NetRevenueMeasure,Microsoft.ExecuteSQLTask,585
85,DWBaseIncrementalLoad_NetRevenueMeasure,Microsoft.Package,1
86,DWBaseIncrementalLoad_NetRevenueMeasure,Microsoft.Pipeline,485
87,DWBaseIncrementalLoad_NetRevenueMeasure,STOCK:FOREACHLOOP,97
88,DWBaseIncrementalLoad_NetRevenueMeasure,STOCK:SEQUENCE,195
